100 18 0.1853 1.1716 0.0651
200 26 0.1853 1.4497 0.0558
300 34 0.2443 1.2370 0.0364
400 38 0.2443 1.3570 0.0357
500 39 0.2443 1.1935 0.0306
600 82 0.2443 1.8677 0.0228
700 106 0.2443 2.5526 0.0241
800 119 0.2443 2.8709 0.0241
900 129 0.2443 3.7853 0.0293
1000 136 0.2443 3.8533 0.0283
1100 142 0.2443 3.8143 0.0269
1200 150 0.2443 4.3418 0.0289
1300 159 0.2443 3.8993 0.0245
1400 162 0.2443 3.7372 0.0231
1500 165 0.2443 4.7699 0.0289
1600 170 0.2443 4.7835 0.0281
1700 174 0.2532 5.5480 0.0319
1800 176 0.2532 5.9942 0.0341
1900 180 0.2532 5.8980 0.0328
2000 183 0.2532 6.3421 0.0347
2100 186 0.2532 6.6772 0.0359
2200 187 0.2532 7.0061 0.0375
2300 190 0.2532 7.1899 0.0378
2400 193 0.2532 7.1179 0.0369
2500 196 0.2532 7.2164 0.0368
2600 198 0.2532 7.4844 0.0378
2700 202 0.2532 7.3545 0.0364
2800 205 0.2532 7.5024 0.0366
2900 210 0.2532 7.1719 0.0342
3000 215 0.2532 7.5522 0.0351
3100 216 0.2532 7.7507 0.0359
3200 220 0.2532 7.7046 0.0350
3300 221 0.2532 7.8420 0.0355
3400 222 0.2532 7.8846 0.0355
3500 223 0.2732 8.3309 0.0374
3600 223 0.2732 8.4857 0.0381
3700 227 0.2732 8.6061 0.0379
3800 228 0.2732 8.7767 0.0385
